gender,height,weight,bmi_category,bmi
1,174,96,Obesity,31.708283789139912
1,189,87,Normal,24.355421180818006
0,185,110,Obesity,32.14024835646457
0,195,104,Overweight,27.350427350427353
1,149,61,Overweight,27.476239809017613
1,189,104,Overweight,29.114526469023826
1,147,92,Extreme Obesity,42.5748530704799
1,154,111,Extreme Obesity,46.80384550514421
1,174,90,Overweight,29.72651605231867
0,169,103,Obesity,36.0631630545149
1,195,81,Normal,21.301775147928996
0,159,80,Obesity,31.644317867172973
0,192,101,Overweight,27.39800347222222
1,155,51,Normal,21.227887617065555
1,191,79,Normal,21.655108138483047
0,153,107,Extreme Obesity,45.70891537442864
0,157,110,Extreme Obesity,44.62655685829039
1,140,129,Extreme Obesity,65.81632653061226
1,144,145,Extreme Obesity,69.9266975308642
1,172,139,Extreme Obesity,46.9848566792861
1,157,110,Extreme Obesity,44.62655685829039
0,153,149,Extreme Obesity,63.650732624204366
0,169,97,Obesity,33.96239627464025
1,185,139,Extreme Obesity,40.6135865595325
0,172,67,Normal,22.647376960519203
0,151,64,Overweight,28.068944344546292
1,190,95,Overweight,26.315789473684212
1,187,62,Weak,17.72998941919986
0,163,159,Extreme Obesity,59.844179306710835
1,179,152,Extreme Obesity,47.439218501295215
1,153,121,Extreme Obesity,51.68952112435388
1,178,52,Weak,16.41206918318394
0,195,65,Weak,17.094017094017094
0,160,131,Extreme Obesity,51.17187499999999
0,157,153,Extreme Obesity,62.07148363016755
0,189,132,Obesity,36.9530528260687
0,197,114,Overweight,29.374629596227678
1,144,80,Obesity,38.58024691358025
0,171,152,Extreme Obesity,51.981806367771284
0,185,81,Normal,23.66691015339664
0,175,120,Obesity,39.183673469387756
0,149,108,Extreme Obesity,48.64645736678528
1,157,56,Normal,22.7189744005842
1,161,118,Extreme Obesity,45.52293507194938
0,182,126,Obesity,38.03888419273034
1,185,76,Normal,22.205989773557338
0,188,122,Obesity,34.51788139429606
1,181,111,Obesity,33.88174964134184
1,161,72,Overweight,27.776706145596233
1,140,152,Extreme Obesity,77.55102040816328
0,168,135,Extreme Obesity,47.831632653061234
0,176,54,Weak,17.43285123966942
1,163,110,Extreme Obesity,41.40163348263014
1,172,105,Obesity,35.49215792320173
1,196,116,Obesity,30.195751770095796
0,187,89,Overweight,25.45111384369012
1,172,92,Obesity,31.09789075175771
1,178,127,Extreme Obesity,40.08332281277616
0,164,70,Overweight,26.026174895895306
1,143,88,Extreme Obesity,43.03388918773535
0,191,54,Extremely Weak,14.802225816178286
0,141,143,Extreme Obesity,71.92797143000855
1,193,54,Extremely Weak,14.49703347740879
1,190,83,Normal,22.991689750692522
1,175,135,Extreme Obesity,44.08163265306123
0,179,158,Extreme Obesity,49.3118192316095
0,172,96,Obesity,32.44997295835587
0,168,59,Normal,20.904195011337873
0,164,82,Obesity,30.487804878048784
0,194,136,Obesity,36.13561483685833
0,153,51,Normal,21.78649237472767
1,178,117,Obesity,36.92715566216387
1,141,80,Extreme Obesity,40.239424576228565
1,180,75,Normal,23.148148148148145
0,185,100,Overweight,29.218407596785973
0,197,154,Obesity,39.681517173851425
1,165,104,Obesity,38.200183654729116
0,168,90,Obesity,31.88775510204082
0,176,122,Obesity,39.385330578512395
1,181,51,Extremely Weak,15.567290375751655
1,164,75,Overweight,27.885187388459254
0,166,140,Extreme Obesity,50.80563216722311
0,190,105,Overweight,29.085872576177287
1,186,118,Obesity,34.10798936293212
1,168,123,Extreme Obesity,43.57993197278912
1,198,50,Extremely Weak,12.753800632588511
0,175,141,Extreme Obesity,46.04081632653061
1,145,117,Extreme Obesity,55.648038049940546
0,159,104,Extreme Obesity,41.13761322732486
0,185,140,Extreme Obesity,40.90577063550036
0,178,154,Extreme Obesity,48.604974119429365
0,183,96,Overweight,28.666129176744597
0,194,111,Overweight,29.4930385800829
1,177,61,Normal,19.4707778735357
1,197,119,Obesity,30.66299054343065
0,170,156,Extreme Obesity,53.979238754325266
1,142,69,Obesity,34.21940091251736
1,160,139,Extreme Obesity,54.29687499999999
1,195,69,Weak,18.14595660749507
0,190,50,Extremely Weak,13.850415512465375
1,199,156,Obesity,39.392944622610536
1,154,105,Extreme Obesity,44.27390791027155
1,161,155,Extreme Obesity,59.797075730102996
0,198,145,Obesity,36.98602183450669
0,192,140,Obesity,37.97743055555556
1,195,126,Obesity,33.13609467455621
1,166,160,Extreme Obesity,58.06357961968356
