age,meals_per_day,exercise_level,bmr,carbs,proteins,fats,calories
29,3,0,1901.25,285.188,114.075,76.05,2281.502
25,3,4,1275.25,302.872,121.149,80.766,2422.978
23,2,0,1652.5,247.875,99.15,66.1,1983.0
22,3,0,2065.0,309.75,123.9,82.6,2478.0
19,3,2,1673.75,324.289,129.716,86.477,2594.313
24,2,0,1616.25,242.438,96.975,64.65,1939.502
30,3,0,1723.75,258.562,103.425,68.95,2068.498
16,4,0,1636.25,245.438,98.175,65.45,1963.502
23,4,0,2133.75,320.062,128.025,85.35,2560.498
23,3,0,1430.0,214.5,85.8,57.2,1716.0
32,2,0,1336.25,200.438,80.175,53.45,1603.502
18,2,1,2140.0,367.812,147.125,98.083,2942.495
22,3,0,1127.75,169.162,67.665,45.11,1353.298
25,3,3,1651.25,356.051,142.42,94.947,2848.407
26,3,0,1445.0,216.75,86.7,57.8,1734.0
22,2,0,1676.25,251.438,100.575,67.05,2011.502
20,3,0,1567.5,235.125,94.05,62.7,1881.0
24,2,0,1847.5,277.125,110.85,73.9,2217.0
44,4,0,1570.25,235.538,94.215,62.81,1884.302
21,2,1,1850.0,317.969,127.188,84.792,2543.756
34,3,0,1683.75,252.562,101.025,67.35,2020.498
20,3,0,1413.75,212.062,84.825,56.55,1696.498
36,3,0,1993.75,299.062,119.625,79.75,2392.498
28,2,0,1430.25,214.538,85.815,57.21,1716.302
21,3,2,1600.0,310.0,124.0,82.667,2480.003
22,2,0,1995.0,299.25,119.7,79.8,2394.0
22,3,0,1357.75,203.662,81.465,54.31,1629.298
24,4,1,1576.25,270.918,108.367,72.245,2167.345
24,2,0,1705.0,255.75,102.3,68.2,2046.0
52,3,0,1359.0,203.85,81.54,54.36,1630.8
21,4,4,1665.0,395.438,158.175,105.45,3163.502
51,3,0,1322.5,198.375,79.35,52.9,1587.0
30,2,1,1815.0,311.953,124.781,83.188,2495.628
21,3,0,1350.0,202.5,81.0,54.0,1620.0
26,2,0,1363.75,204.562,81.825,54.55,1636.498
24,3,0,1973.75,296.062,118.425,78.95,2368.498
22,3,0,2026.25,303.938,121.575,81.05,2431.502
29,2,1,1532.75,263.441,105.377,70.251,2107.531
21,3,0,1620.0,243.0,97.2,64.8,1944.0
22,3,0,1776.25,266.438,106.575,71.05,2131.502
32,3,0,1526.5,228.975,91.59,61.06,1831.8
37,2,0,1402.75,210.412,84.165,56.11,1683.298
25,3,0,1920.0,288.0,115.2,76.8,2304.0
24,2,0,1360.25,204.038,81.615,54.41,1632.302
35,3,0,1468.75,220.312,88.125,58.75,1762.498
29,3,0,1624.0,243.6,97.44,64.96,1948.8
26,2,1,1916.25,329.355,131.742,87.828,2634.84
26,3,0,1877.5,281.625,112.65,75.1,2253.0
34,2,0,1199.0,179.85,71.94,47.96,1438.8
28,3,0,2017.5,302.625,121.05,80.7,2421.0
27,3,0,1455.25,218.288,87.315,58.21,1746.302
21,2,0,1672.75,250.912,100.365,66.91,2007.298
44,3,0,1316.25,197.438,78.975,52.65,1579.502
22,4,0,1290.25,193.538,77.415,51.61,1548.302
35,3,0,1464.0,219.6,87.84,58.56,1756.8
24,3,0,1799.0,269.85,107.94,71.96,2158.8
40,3,0,1346.5,201.975,80.79,53.86,1615.8
21,4,0,1421.5,213.225,85.29,56.86,1705.8
22,2,0,1190.25,178.538,71.415,47.61,1428.302
22,2,0,1147.75,172.162,68.865,45.91,1377.298
23,3,1,1424.0,244.75,97.9,65.267,1958.003
21,4,1,1215.25,208.871,83.548,55.699,1670.967
23,4,4,1722.5,409.094,163.638,109.092,3272.756
23,4,1,1790.0,307.656,123.062,82.042,2461.25
21,3,3,1562.5,336.914,134.766,89.844,2695.316
20,3,0,1389.0,208.35,83.34,55.56,1666.8
22,3,0,1326.25,198.938,79.575,53.05,1591.502
30,4,0,1916.25,287.438,114.975,76.65,2299.502
20,3,0,1230.25,184.538,73.815,49.21,1476.302
30,3,0,1629.0,244.35,97.74,65.16,1954.8
36,3,0,1385.0,207.75,83.1,55.4,1662.0
23,2,0,1300.0,195.0,78.0,52.0,1560.0
19,3,0,1868.75,280.312,112.125,74.75,2242.498
25,3,0,1991.25,298.688,119.475,79.65,2389.502
22,4,0,1798.75,269.812,107.925,71.95,2158.498
41,3,0,1828.75,274.312,109.725,73.15,2194.498
32,3,0,2065.0,309.75,123.9,82.6,2478.0
21,3,0,1500.0,225.0,90.0,60.0,1800.0
36,3,0,1099.0,164.85,65.94,43.96,1318.8
19,2,0,1350.0,202.5,81.0,54.0,1620.0
32,4,0,1986.25,297.938,119.175,79.45,2383.502
18,3,0,1345.25,201.788,80.715,53.81,1614.302
19,2,1,1265.25,217.465,86.986,57.991,1739.723
18,2,1,1643.75,282.52,113.008,75.339,2260.163
23,3,0,1451.25,217.688,87.075,58.05,1741.502
21,4,0,1704.0,255.6,102.24,68.16,2044.8
22,4,0,1324.0,198.6,79.44,52.96,1588.8
31,2,0,1445.25,216.788,86.715,57.81,1734.302
20,3,3,1119.0,241.284,96.514,64.342,1930.27
23,3,0,1990.0,298.5,119.4,79.6,2388.0
22,4,0,1297.75,194.662,77.865,51.91,1557.298
21,3,4,1530.0,363.375,145.35,96.9,2907.0
16,3,2,1586.25,307.336,122.934,81.956,2458.684
25,2,0,1992.5,298.875,119.55,79.7,2391.0
37,3,0,1530.25,229.538,91.815,61.21,1836.302
22,3,1,1556.25,267.48,106.992,71.328,2139.84
25,3,0,1164.0,174.6,69.84,46.56,1396.8
35,3,0,1482.75,222.412,88.965,59.31,1779.298
30,3,0,1576.5,236.475,94.59,63.06,1891.8
28,3,0,1486.25,222.938,89.175,59.45,1783.502
20,2,0,1365.25,204.788,81.915,54.61,1638.302
58,2,0,1136.5,170.475,68.19,45.46,1363.8
21,2,0,1454.0,218.1,87.24,58.16,1744.8
22,3,0,1197.75,179.662,71.865,47.91,1437.298
21,2,0,1615.25,242.288,96.915,64.61,1938.302
20,3,0,1467.5,220.125,88.05,58.7,1761.0
26,2,2,1397.75,270.814,108.326,72.217,2166.513
37,2,1,1518.75,261.035,104.414,69.609,2088.277
41,3,0,1685.25,252.788,101.115,67.41,2022.302
46,3,1,1079.0,185.453,74.181,49.454,1483.622
35,3,0,1539.0,230.85,92.34,61.56,1846.8
25,3,0,1564.0,234.6,93.84,62.56,1876.8
25,3,1,1962.5,337.305,134.922,89.948,2698.44
22,3,0,1376.25,206.438,82.575,55.05,1651.502
26,3,0,1476.25,221.438,88.575,59.05,1771.502
24,2,4,1585.0,376.438,150.575,100.383,3011.499
18,3,0,1280.25,192.038,76.815,51.21,1536.302
18,2,0,1349.0,202.35,80.94,53.96,1618.8
23,3,0,1881.25,282.188,112.875,75.25,2257.502
26,3,0,1680.25,252.038,100.815,67.21,2016.302
40,3,0,1039.0,155.85,62.34,41.56,1246.8
25,2,3,1304.0,281.175,112.47,74.98,2249.4
35,4,0,1970.0,295.5,118.2,78.8,2364.0
22,2,0,1567.5,235.125,94.05,62.7,1881.0
22,4,0,1691.5,253.725,101.49,67.66,2029.8
34,3,0,1973.75,296.062,118.425,78.95,2368.498
25,4,0,1892.5,283.875,113.55,75.7,2271.0
25,2,0,1722.5,258.375,103.35,68.9,2067.0
25,2,0,1175.25,176.288,70.515,47.01,1410.302
24,4,1,1647.5,283.164,113.266,75.51,2265.31
41,4,0,1482.75,222.412,88.965,59.31,1779.298
39,2,0,1372.75,205.912,82.365,54.91,1647.298
18,3,0,1795.0,269.25,107.7,71.8,2154.0
23,4,4,1831.25,434.922,173.969,115.979,3479.375
23,3,0,1412.75,211.912,84.765,56.51,1695.298
26,2,0,1796.25,269.438,107.775,71.85,2155.502
17,2,0,1888.75,283.312,113.325,75.55,2266.498
22,3,0,2075.0,311.25,124.5,83.0,2490.0
25,2,0,1338.75,200.812,80.325,53.55,1606.498
26,3,1,1817.5,312.383,124.953,83.302,2499.062
22,3,0,1084.0,162.6,65.04,43.36,1300.8
25,2,0,1445.25,216.788,86.715,57.81,1734.302
20,3,0,1480.25,222.038,88.815,59.21,1776.302
23,3,3,1922.5,414.539,165.816,110.544,3316.316
32,3,0,1157.75,173.662,69.465,46.31,1389.298
21,3,3,1581.25,340.957,136.383,90.922,2727.658
25,3,0,1371.25,205.688,82.275,54.85,1645.502
25,3,0,1462.5,219.375,87.75,58.5,1755.0
23,4,1,1672.5,287.461,114.984,76.656,2299.684
23,2,0,1394.0,209.1,83.64,55.76,1672.8
23,2,1,1662.5,285.742,114.297,76.198,2285.938
23,3,0,1511.25,226.688,90.675,60.45,1813.502
22,3,0,1607.5,241.125,96.45,64.3,1929.0
25,3,0,1402.5,210.375,84.15,56.1,1683.0
25,3,0,1331.25,199.688,79.875,53.25,1597.502
23,4,0,1474.0,221.1,88.44,58.96,1768.8
18,2,0,1695.0,254.25,101.7,67.8,2034.0
21,3,0,1391.25,208.688,83.475,55.65,1669.502
18,3,0,1515.0,227.25,90.9,60.6,1818.0
22,3,2,1536.25,297.648,119.059,79.373,2381.185
25,3,0,2040.0,306.0,122.4,81.6,2448.0
24,2,0,1750.0,262.5,105.0,70.0,2100.0
22,2,0,1479.0,221.85,88.74,59.16,1774.8
22,3,0,1445.0,216.75,86.7,57.8,1734.0
32,3,4,1646.25,390.984,156.394,104.262,3127.87
22,2,4,1677.5,398.406,159.362,106.242,3187.25
30,3,0,1853.75,278.062,111.225,74.15,2224.498
20,4,0,1570.25,235.538,94.215,62.81,1884.302
59,2,0,1170.25,175.538,70.215,46.81,1404.302
17,3,0,1645.0,246.75,98.7,65.8,1974.0
26,3,0,1485.25,222.788,89.115,59.41,1782.302
44,3,0,1450.25,217.538,87.015,58.01,1740.302
40,3,1,1389.0,238.734,95.494,63.662,1909.87
19,3,0,1622.5,243.375,97.35,64.9,1947.0
28,2,0,1105.25,165.788,66.315,44.21,1326.302
24,3,0,2073.75,311.062,124.425,82.95,2488.498
27,3,0,1225.25,183.788,73.515,49.01,1470.302
22,3,3,1519.0,327.534,131.014,87.342,2620.27
24,4,0,1227.75,184.162,73.665,49.11,1473.298
21,3,0,1202.75,180.412,72.165,48.11,1443.298
20,2,4,1941.25,461.047,184.419,122.946,3688.378
23,2,0,1611.25,241.688,96.675,64.45,1933.502
22,2,0,1310.25,196.538,78.615,52.41,1572.302
24,3,0,2096.25,314.438,125.775,83.85,2515.502
24,3,0,1393.75,209.062,83.625,55.75,1672.498
34,2,0,1279.0,191.85,76.74,51.16,1534.8
23,3,0,2071.25,310.688,124.275,82.85,2485.502
22,3,0,1807.5,271.125,108.45,72.3,2169.0
21,2,0,1184.0,177.6,71.04,47.36,1420.8
36,3,0,1975.0,296.25,118.5,79.0,2370.0
22,2,0,1708.75,256.312,102.525,68.35,2050.498
33,2,0,1140.25,171.038,68.415,45.61,1368.302
23,2,0,1732.5,259.875,103.95,69.3,2079.0
21,3,0,1462.5,219.375,87.75,58.5,1755.0
34,3,0,1333.75,200.062,80.025,53.35,1600.498
23,3,0,1254.0,188.1,75.24,50.16,1504.8
27,3,0,1991.25,298.688,119.475,79.65,2389.502
51,4,0,1550.0,232.5,93.0,62.0,1860.0
23,4,0,1622.5,243.375,97.35,64.9,1947.0
23,3,0,2051.25,307.688,123.075,82.05,2461.502
33,2,0,1310.25,196.538,78.615,52.41,1572.302
23,2,0,1628.75,244.312,97.725,65.15,1954.498
24,2,1,1937.5,333.008,133.203,88.802,2664.062
27,3,0,1174.0,176.1,70.44,46.96,1408.8
23,3,0,1361.25,204.188,81.675,54.45,1633.502
21,3,2,1415.25,274.205,109.682,73.121,2193.637
45,3,0,1323.75,198.562,79.425,52.95,1588.498
33,3,0,1620.0,243.0,97.2,64.8,1944.0
15,2,3,1464.0,315.675,126.27,84.18,2525.4
27,3,0,1510.25,226.538,90.615,60.41,1812.302
23,2,2,1802.5,349.234,139.694,93.129,2793.873
24,2,0,1303.75,195.562,78.225,52.15,1564.498
31,2,0,1815.25,272.287,108.915,72.61,2178.298
23,2,0,1971.25,295.688,118.275,78.85,2365.502
24,3,2,1647.5,319.203,127.681,85.121,2553.625
54,4,0,1430.25,214.538,85.815,57.21,1716.302
24,3,0,1897.5,284.625,113.85,75.9,2277.0
28,2,1,1169.0,200.922,80.369,53.579,1607.375
38,3,0,2045.0,306.75,122.7,81.8,2454.0
25,2,1,1230.25,211.449,84.58,56.386,1691.59
58,2,0,1300.25,195.038,78.015,52.01,1560.302
21,3,4,1255.25,298.122,119.249,79.499,2384.975
23,3,0,1692.5,253.875,101.55,67.7,2031.0
35,3,0,2011.25,301.688,120.675,80.45,2413.502
23,3,0,1520.0,228.0,91.2,60.8,1824.0
26,3,0,1996.25,299.438,119.775,79.85,2395.502
24,3,0,1778.75,266.812,106.725,71.15,2134.498
25,3,0,1420.0,213.0,85.2,56.8,1704.0
37,2,0,1435.25,215.288,86.115,57.41,1722.302
50,2,0,1189.0,178.35,71.34,47.56,1426.8
25,3,0,1816.25,272.438,108.975,72.65,2179.502
29,3,0,1570.25,235.538,94.215,62.81,1884.302
24,2,0,1827.5,274.125,109.65,73.1,2193.0
20,2,1,1237.75,212.738,85.095,56.73,1701.902
21,3,0,1613.75,242.062,96.825,64.55,1936.498
33,3,0,1441.25,216.188,86.475,57.65,1729.502
22,2,2,1777.5,344.391,137.756,91.838,2755.13
18,3,2,1790.0,346.812,138.725,92.483,2774.495
49,3,0,1189.0,178.35,71.34,47.56,1426.8
21,3,0,1553.75,233.062,93.225,62.15,1864.498
54,2,0,1014.0,152.1,60.84,40.56,1216.8
24,2,0,1331.5,199.725,79.89,53.26,1597.8
26,3,0,1806.25,270.938,108.375,72.25,2167.502
28,2,1,1907.5,327.852,131.141,87.427,2622.815
21,2,1,1667.75,286.645,114.658,76.439,2293.163
30,2,0,1890.0,283.5,113.4,75.6,2268.0
29,4,0,1930.0,289.5,115.8,77.2,2316.0
41,4,0,1320.25,198.038,79.215,52.81,1584.302
23,3,2,1720.0,333.25,133.3,88.867,2666.003
40,3,0,1306.5,195.975,78.39,52.26,1567.8
42,3,0,1569.0,235.35,94.14,62.76,1882.8
23,3,4,1673.75,397.516,159.006,106.004,3180.124
30,4,0,1657.75,248.662,99.465,66.31,1989.298
28,4,0,1823.75,273.562,109.425,72.95,2188.498
23,2,0,1758.75,263.812,105.525,70.35,2110.498
22,3,0,1555.0,233.25,93.3,62.2,1866.0
27,2,1,1294.0,222.406,88.962,59.308,1779.244
22,4,4,1718.75,408.203,163.281,108.854,3265.622
21,2,0,1172.75,175.912,70.365,46.91,1407.298
20,4,2,1551.5,300.603,120.241,80.161,2404.825
26,3,1,1726.25,296.699,118.68,79.12,2373.596
25,3,0,1364.0,204.6,81.84,54.56,1636.8
25,3,0,1398.75,209.812,83.925,55.95,1678.498
46,3,0,1545.25,231.788,92.715,61.81,1854.302
22,3,0,1457.5,218.625,87.45,58.3,1749.0
34,2,0,1399.0,209.85,83.94,55.96,1678.8
23,2,0,1202.75,180.412,72.165,48.11,1443.298
25,3,0,1858.75,278.812,111.525,74.35,2230.498
22,3,1,1229.0,211.234,84.494,56.329,1689.873
19,3,0,1791.25,268.688,107.475,71.65,2149.502
22,3,0,1888.75,283.312,113.325,75.55,2266.498
23,3,0,1633.75,245.062,98.025,65.35,1960.498
19,3,1,2066.25,355.137,142.055,94.703,2841.095
22,4,3,1410.25,304.085,121.634,81.089,2432.677
21,4,4,1652.5,392.469,156.988,104.658,3139.75
23,3,0,1828.75,274.312,109.725,73.15,2194.498
28,4,0,1765.0,264.75,105.9,70.6,2118.0
22,3,1,1307.75,224.77,89.908,59.939,1798.163
23,3,0,1933.75,290.062,116.025,77.35,2320.498
25,4,0,1309.0,196.35,78.54,52.36,1570.8
19,3,1,1304.0,224.125,89.65,59.767,1793.003
50,3,0,1359.0,203.85,81.54,54.36,1630.8
20,3,1,1626.25,279.512,111.805,74.536,2236.092
32,3,0,1376.25,206.438,82.575,55.05,1651.502
35,2,0,1275.25,191.288,76.515,51.01,1530.302
48,4,0,1226.5,183.975,73.59,49.06,1471.8
21,3,0,1352.75,202.912,81.165,54.11,1623.298
25,3,0,1551.5,232.725,93.09,62.06,1861.8
20,3,1,1339.0,230.141,92.056,61.371,1841.127
23,3,0,1472.5,220.875,88.35,58.9,1767.0
20,2,0,1439.0,215.85,86.34,57.56,1726.8
24,2,0,1406.25,210.938,84.375,56.25,1687.502
30,3,1,1876.25,322.48,128.992,85.995,2579.843
48,3,0,1204.0,180.6,72.24,48.16,1444.8
22,2,0,1626.25,243.938,97.575,65.05,1951.502
23,2,0,1661.25,249.188,99.675,66.45,1993.502
22,3,0,2085.0,312.75,125.1,83.4,2502.0
22,3,2,1257.75,243.689,97.476,64.984,1949.516
19,2,3,1773.75,382.465,152.986,101.991,3059.723
25,4,0,1294.0,194.1,77.64,51.76,1552.8
25,3,0,2033.75,305.062,122.025,81.35,2440.498
23,3,0,1642.5,246.375,98.55,65.7,1971.0
27,3,1,1167.75,200.707,80.283,53.522,1605.658
26,2,0,1805.0,270.75,108.3,72.2,2166.0
22,3,4,1287.75,305.841,122.336,81.557,2446.721
25,4,0,1654.0,248.1,99.24,66.16,1984.8
26,3,0,2027.5,304.125,121.65,81.1,2433.0
26,2,0,1876.25,281.438,112.575,75.05,2251.502
27,4,0,1422.75,213.412,85.365,56.91,1707.298
23,3,4,1691.25,401.672,160.669,107.112,3213.372
21,4,4,1630.0,387.125,154.85,103.233,3096.997
42,3,0,1945.0,291.75,116.7,77.8,2334.0
23,4,0,1702.5,255.375,102.15,68.1,2043.0
26,4,0,1554.0,233.1,93.24,62.16,1864.8
21,3,0,1700.0,255.0,102.0,68.0,2040.0
20,2,0,1667.5,250.125,100.05,66.7,2001.0
20,3,0,1486.25,222.938,89.175,59.45,1783.502
27,3,0,1771.25,265.688,106.275,70.85,2125.502
22,3,0,1716.25,257.438,102.975,68.65,2059.502
26,3,0,1537.75,230.662,92.265,61.51,1845.298
24,4,0,1705.0,255.75,102.3,68.2,2046.0
24,2,4,1847.5,438.781,175.513,117.008,3510.248
28,3,0,1415.0,212.25,84.9,56.6,1698.0
28,4,1,2128.75,365.879,146.352,97.568,2927.036
62,3,4,1296.25,307.859,123.144,82.096,2462.876
35,4,0,1668.75,250.312,100.125,66.75,2002.498
25,3,0,1212.75,181.912,72.765,48.51,1455.298
21,3,0,1225.25,183.788,73.515,49.01,1470.302
16,3,2,1190.25,230.611,92.244,61.496,1844.884
33,3,0,1065.25,159.788,63.915,42.61,1278.302
23,2,0,1321.25,198.188,79.275,52.85,1585.502
20,3,0,1180.25,177.038,70.815,47.21,1416.302
23,3,1,1214.0,208.656,83.462,55.642,1669.25
25,4,0,1950.0,292.5,117.0,78.0,2340.0
24,2,0,1097.75,164.662,65.865,43.91,1317.298
24,2,2,1716.25,332.523,133.009,88.673,2660.185
23,3,0,1571.25,235.688,94.275,62.85,1885.502
20,3,0,1297.75,194.662,77.865,51.91,1557.298
22,3,0,1717.5,257.625,103.05,68.7,2061.0
19,4,0,1204.0,180.6,72.24,48.16,1444.8
20,3,2,1567.75,303.752,121.501,81.0,2430.012
22,3,0,1588.75,238.312,95.325,63.55,1906.498
21,3,0,1272.75,190.912,76.365,50.91,1527.298
25,4,3,1906.25,411.035,164.414,109.609,3288.277
50,3,0,1535.25,230.288,92.115,61.41,1842.302
20,3,0,1780.0,267.0,106.8,71.2,2136.0
46,2,0,1040.25,156.038,62.415,41.61,1248.302
18,4,0,1344.0,201.6,80.64,53.76,1612.8
21,2,1,1661.25,285.527,114.211,76.141,2284.221
23,3,0,1722.5,258.375,103.35,68.9,2067.0
23,3,0,1645.0,246.75,98.7,65.8,1974.0
25,2,0,1258.75,188.812,75.525,50.35,1510.498
22,2,0,1611.5,241.725,96.69,64.46,1933.8
42,3,0,1613.75,242.062,96.825,64.55,1936.498
23,2,4,1633.75,388.016,155.206,103.471,3104.127
22,3,0,1801.25,270.188,108.075,72.05,2161.502
27,4,0,1484.0,222.6,89.04,59.36,1780.8
22,3,0,1446.25,216.938,86.775,57.85,1735.502
21,3,0,1812.5,271.875,108.75,72.5,2175.0
20,4,2,1530.25,296.486,118.594,79.063,2371.887
22,2,0,1297.75,194.662,77.865,51.91,1557.298
43,4,0,1748.75,262.312,104.925,69.95,2098.498
25,4,3,1692.5,364.945,145.978,97.319,2919.563
25,3,0,1511.25,226.688,90.675,60.45,1813.502
41,4,0,1300.25,195.038,78.015,52.01,1560.302
28,2,0,1116.5,167.475,66.99,44.66,1339.8
29,3,1,1852.5,318.398,127.359,84.906,2547.182
23,3,0,1971.25,295.688,118.275,78.85,2365.502
22,3,0,1027.75,154.162,61.665,41.11,1233.298
