fdc_id,food,carbs,calories,fiber,protein,fat
319877,Hummus,0.0,0.0,0.0,0.0,19.0
319915,Hummus - NFY12140Q,0.0,0.0,5.7,0.0,0.0
319934,Hummus - NFY12141F,0.0,0.0,5.4,0.0,0.0
319951,Hummus - NFY1213ZX,0.0,0.0,5.5,0.0,0.0
319973,Hummus - NFY12143E,0.0,0.0,5.7,0.0,0.0
320000,Hummus - NFY12141Z,0.0,0.0,5.5,0.0,0.0
320018,Hummus - NFY12142O,0.0,0.0,4.9,0.0,0.0
320027,"MILK, 2% ",0.0,0.0,0.0,0.0,1.8
320356,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 5, select",0.0,0.0,0.0,23.4,3.46
320383,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 10, select",0.0,0.0,0.0,23.9,1.91
320389,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 11, select",0.0,0.0,0.0,23.5,2.81
320391,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 16, select",0.0,0.0,0.0,23.8,2.07
320393,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 17, select",0.0,0.0,0.0,23.8,3.3
320395,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 18, select",0.0,0.0,0.0,24.0,2.24
320401,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 22, select",0.0,0.0,0.0,23.9,3.01
320403,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 23, select",0.0,0.0,0.0,23.3,3.45
320405,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 28, select",0.0,0.0,0.0,22.9,1.98
320407,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 29, select",0.0,0.0,0.0,23.3,2.27
320409,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 35, select",0.0,0.0,0.0,22.7,1.47
320411,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 36, select",0.0,0.0,0.0,22.6,1.74
320448,"TOMATOES, GRAPE",0.0,0.0,0.0,0.0,0.7
