gender,height,weight,bmi_category,bmi,age,meals_per_day,exercise_level,bmr,carbs,proteins,fats,calories,fdc_id,food,fiber,protein,fat
1.0,174.0,96.0,Obesity,31.708283789139912,29,3,0,1901.25,285.188,114.075,76.05,2281.502,332562,"Pears, Green Anjou, Region 2, n/a, Yes, Fiber - NFY0000HK",3.7,0.0,0.0
1.0,189.0,87.0,Normal,24.35542118081801,25,3,4,1275.25,302.872,121.149,80.766,2422.978,335411,"Beans, Dry, Navy, 216 (0% moisture)",4.2,20.2,1.7
0.0,185.0,110.0,Obesity,32.14024835646457,23,2,0,1652.5,247.875,99.15,66.1,1983.0,335244,"Beans, Dry, Dark Red Kidney, 11F-8132 (0% moisture)",4.3,25.5,1.12
0.0,195.0,104.0,Overweight,27.350427350427356,22,3,0,2065.0,309.75,123.9,82.6,2478.0,335061,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",0.0,27.3,11.4
1.0,149.0,61.0,Overweight,27.476239809017613,19,3,2,1673.75,324.289,129.716,86.477,2594.313,335756,"Beans, Dry, Small Red, 370 (0% moisture)",4.1,22.7,1.22
1.0,189.0,104.0,Overweight,29.114526469023826,24,2,0,1616.25,242.438,96.975,64.65,1939.502,2346407,"Cabbage, green, raw",0.0,0.96125,0.2275
1.0,147.0,92.0,Extreme Obesity,42.5748530704799,30,3,0,1723.75,258.562,103.425,68.95,2068.498,328006,"Proximates, Cheddar cheese, sliced, SARGENTO SHARP  (NY) - NFY120DBP",0.0,0.0,33.6
1.0,154.0,111.0,Extreme Obesity,46.80384550514421,16,4,0,1636.25,245.438,98.175,65.45,1963.502,335355,"Beans, Dry, Navy, 476 (0% moisture)",4.2,25.7,1.53
1.0,174.0,90.0,Overweight,29.72651605231867,23,4,0,2133.75,320.062,128.025,85.35,2560.498,326249,"Carrots, sliced or crinkle cut, frozen, unprepared - Proximates - NF9913WD",0.0,0.0,1.16
0.0,169.0,103.0,Obesity,36.0631630545149,23,3,0,1430.0,214.5,85.8,57.2,1716.0,335600,"Beans, Dry, Pinto, 663 (0% moisture)",4.1,22.0,1.28
1.0,195.0,81.0,Normal,21.301775147929,32,2,0,1336.25,200.438,80.175,53.45,1603.502,2263888,"Raspberries, raw",0.0,1.008125,0.1875
0.0,159.0,80.0,Obesity,31.644317867172973,18,2,1,2140.0,367.812,147.125,98.083,2942.495,324157,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",0.0,13.3,28.7
0.0,192.0,101.0,Overweight,27.39800347222222,22,3,0,1127.75,169.162,67.665,45.11,1353.298,335803,"Beans, Dry, Black, 11F-8146 (0% moisture)",4.8,26.0,1.05
1.0,155.0,51.0,Normal,21.227887617065555,25,3,3,1651.25,356.051,142.42,94.947,2848.407,331960,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",0.0,32.1,3.24
1.0,191.0,79.0,Normal,21.655108138483047,26,3,0,1445.0,216.75,86.7,57.8,1734.0,2713224,"Apricot, with skin, pitted, raw",1.24,0.0,0.0
0.0,153.0,107.0,Extreme Obesity,45.70891537442864,22,2,0,1676.25,251.438,100.575,67.05,2011.502,335633,"Beans, Dry, Pinto, 517 (0% moisture)",4.1,25.4,1.35
0.0,157.0,110.0,Extreme Obesity,44.62655685829039,20,3,0,1567.5,235.125,94.05,62.7,1881.0,2747663,"Peppers, serrano, seeded, raw",2.521,0.855625,0.1406
1.0,140.0,129.0,Extreme Obesity,65.81632653061226,24,2,0,1847.5,277.125,110.85,73.9,2217.0,335332,"Beans, Dry, Navy, 585 (0% moisture)",4.5,26.2,1.39
1.0,144.0,145.0,Extreme Obesity,69.9266975308642,44,4,0,1570.25,235.538,94.215,62.81,1884.302,333990,"Proximates, Tuna, canned, in water, drained solids, store brand,  GREAT VALUE &  SAFEWAY (AL,CA1) - NFY090S5Y",0.0,0.0,0.87
1.0,172.0,139.0,Extreme Obesity,46.9848566792861,21,2,1,1850.0,317.969,127.188,84.792,2543.756,2685570,"Squash, winter, butternut, raw",1.959,1.14875,0.1675
1.0,157.0,110.0,Extreme Obesity,44.62655685829039,34,3,0,1683.75,252.562,101.025,67.35,2020.498,335301,"Beans, Dry, Pink, 725 (0% moisture)",3.9,21.8,1.54
0.0,153.0,149.0,Extreme Obesity,63.650732624204366,20,3,0,1413.75,212.062,84.825,56.55,1696.498,327912,"Romaine Lettuce, Region 4, n/a, Yes - Fiber - NFY0101TC",2.0,0.0,0.0
0.0,169.0,97.0,Obesity,33.96239627464025,36,3,0,1993.75,299.062,119.625,79.75,2392.498,321358,"Hummus, commercial",5.4,7.35,17.1
1.0,185.0,139.0,Extreme Obesity,40.6135865595325,28,2,0,1430.25,214.538,85.815,57.21,1716.302,2648398,"provolone cheese, sliced, non-smoked",0.0,0.0,27.13
0.0,172.0,67.0,Normal,22.647376960519203,21,3,2,1600.0,310.0,124.0,82.667,2480.003,331658,"Fat, Chicken, dark meat, lean only, thigh, braised, non-enhanced (CA2,NC1) - 14B-09-02-TotalFat",0.0,0.0,8.15
0.0,151.0,64.0,Overweight,28.06894434454629,22,2,0,1995.0,299.25,119.7,79.8,2394.0,328129,"Proximates, Cheddar cheese, sliced, store brand, HYVEE CRACKER CUTS & PUBLIX (FL,MO) - NFY120DFJ",0.0,0.0,32.9
1.0,190.0,95.0,Overweight,26.31578947368421,22,3,0,1357.75,203.662,81.465,54.31,1629.298,335012,"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 13, upperchoice",0.0,28.2,11.0
1.0,187.0,62.0,Weak,17.72998941919986,24,4,1,1576.25,270.918,108.367,72.245,2167.345,1753664,"MUSHROOMS, SHIITAKE",0.0,0.0,0.28
0.0,163.0,159.0,Extreme Obesity,59.84417930671084,24,2,0,1705.0,255.75,102.3,68.2,2046.0,334335,"TDF, Sweet And Sour Pork, Chinese restaurant (CO1,CT1) - NFY0903KF",1.3,0.0,0.0
1.0,179.0,152.0,Extreme Obesity,47.439218501295215,52,3,0,1359.0,203.85,81.54,54.36,1630.8,335924,"Beans, Dry, Small White, 544 (0% moisture)",4.4,23.5,1.02
1.0,153.0,121.0,Extreme Obesity,51.68952112435388,21,4,4,1665.0,395.438,158.175,105.45,3163.502,324743,"Proximates, Peanut butter, creamy, JIF (AL,CA1) - NFY120C96",0.0,0.0,52.2
1.0,178.0,52.0,Weak,16.41206918318394,51,3,0,1322.5,198.375,79.35,52.9,1587.0,329370,"Cheese, mozzarella, low moisture, part-skim",0.0,23.7,20.4
0.0,195.0,65.0,Weak,17.094017094017094,30,2,1,1815.0,311.953,124.781,83.188,2495.628,336018,"Beans, Dry, Great Northern, 826 (0% moisture)",4.6,27.1,1.08
0.0,160.0,131.0,Extreme Obesity,51.17187499999999,21,3,0,1350.0,202.5,81.0,54.0,1620.0,335384,"Beans, Dry, Navy, 561 (0% moisture)",4.3,24.7,1.6
0.0,157.0,153.0,Extreme Obesity,62.07148363016755,26,2,0,1363.75,204.562,81.825,54.55,1636.498,335646,"Beans, Dry, Pinto, 744 (0% moisture)",4.0,24.2,1.28
0.0,189.0,132.0,Obesity,36.9530528260687,24,3,0,1973.75,296.062,118.425,78.95,2368.498,330609,"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, patties, broiled (NC1) ",0.0,25.3,0.0
0.0,197.0,114.0,Overweight,29.37462959622768,22,3,0,2026.25,303.938,121.575,81.05,2431.502,2003600,"Mushroom, enoki",2.945,2.416875,0.245
1.0,144.0,80.0,Obesity,38.58024691358025,29,2,1,1532.75,263.441,105.377,70.251,2107.531,2515218,"Beef, ground, grass-fed, 90% lean, 10% fat, raw",0.0,0.0,10.95
0.0,171.0,152.0,Extreme Obesity,51.98180636777128,21,3,0,1620.0,243.0,97.2,64.8,1944.0,335414,"Beans, Dry, Navy, 551 (0% moisture)",4.3,22.7,1.53
0.0,185.0,81.0,Normal,23.66691015339664,22,3,0,1776.25,266.438,106.575,71.05,2131.502,2747665,"Radishes, red, raw",1.314,0.65625,0.08313
0.0,175.0,120.0,Obesity,39.18367346938776,32,3,0,1526.5,228.975,91.59,61.06,1831.8,330211,"Proximates, Yogurt, Greek, strawberry, non-fat, DANNON OIKOS (CA2,NC) - NFY120ONI",0.0,7.88,0.3
0.0,149.0,108.0,Extreme Obesity,48.64645736678528,37,2,0,1402.75,210.412,84.165,56.11,1683.298,2710827,"Einkorn, grain, dry, raw",8.913,15.11719,3.811
1.0,157.0,56.0,Normal,22.7189744005842,25,3,0,1920.0,288.0,115.2,76.8,2304.0,2003593,"Grape juice, white, with added vitamin C, from concentrate, shelf stable",0.0,0.09375,0.265
1.0,161.0,118.0,Extreme Obesity,45.52293507194938,24,2,0,1360.25,204.038,81.615,54.41,1632.302,325255,"Grapefruit juice, white, shelf stable - NFY1213T5",0.0,0.0,0.43
0.0,182.0,126.0,Obesity,38.03888419273034,35,3,0,1468.75,220.312,88.125,58.75,1762.498,1750684,"ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE",0.0,0.0,1.43
1.0,185.0,76.0,Normal,22.205989773557334,29,3,0,1624.0,243.6,97.44,64.96,1948.8,335481,"Beans, Dry, Pinto, 11F-8078 (0% moisture)",4.7,22.4,1.29
0.0,188.0,122.0,Obesity,34.51788139429606,26,2,1,1916.25,329.355,131.742,87.828,2634.84,2263892,"Applesauce, unsweetened, with added vitamin C",0.0,0.2734375,0.1625
